Data;Onda_Hs_m;Onda_Tp_s;Onda_Dir_graus;Vento_U_m_s;Vento_V_m_s;Vento_Vel_10m_m_s;Vento_Dir_graus;Corr_U_m_s;Corr_V_m_s;Corr_Vel_m_s;Corr_Dir_graus;Heave_Max_m;Pitch_Max_graus;Roll_Max_graus;Status_ULS;Motivo_ULS;Status_SLS_Geral;Motivo_SLS;SLS_Guindaste;SLS_Helicoptero;SLS_Barco_Apoio;SLS_ROV;SLS_Offloading;SLS_Planta
2015-03-11;1.66;7.77;115.1;2.43;-3.5;4.26;304.8;0.01;-0.03;0.03;293.8;0.05;0.0;0.1;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-03-12;1.82;8.02;157.4;2.68;-0.36;2.71;352.3;-0.01;0.0;0.01;159.1;0.08;0.04;0.15;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-03-13;1.62;8.5;182.8;0.88;-0.06;0.88;356.2;-0.03;-0.03;0.04;218.3;0.09;0.07;0.1;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-03-14;1.18;7.63;167.3;-0.75;0.24;0.79;162.4;-0.07;-0.06;0.09;219.2;0.04;0.03;0.08;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-03-15;1.07;7.66;152.4;-1.36;-0.99;1.68;216.0;-0.06;-0.09;0.11;236.1;0.03;0.02;0.06;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-03-16;1.14;8.26;136.3;-1.1;-0.55;1.23;206.5;-0.05;-0.07;0.09;234.1;0.05;0.02;0.1;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-03-17;1.15;8.59;134.7;-0.83;1.98;2.15;112.8;-0.07;-0.02;0.07;195.8;0.08;0.02;0.15;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-03-18;1.17;8.37;143.5;-2.53;1.97;3.21;142.1;-0.08;-0.06;0.11;217.3;0.06;0.03;0.1;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-03-19;1.35;9.67;133.0;-4.0;1.51;4.27;159.4;-0.1;-0.09;0.14;224.4;0.12;0.03;0.19;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-03-20;1.52;12.03;122.4;-3.69;-0.11;3.69;181.8;-0.09;-0.12;0.15;230.9;0.42;0.0;0.45;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
